epoch,sample_idx,image_path,total_loss,box_loss,cls_loss,dfl_loss
1,1028,/home/mml/workspace/ultralytics/datasets/african-wildlife/images/train/4 (69).jpg,11.006608963012695,1.1145039796829224,1.2309192419052124,1.3549129962921143
1,1029,/home/mml/workspace/ultralytics/datasets/african-wildlife/images/train/4 (7).jpg,7.7157668471336365,0.7058649063110352,1.8108521699905396,1.0109026432037354
1,1030,/home/mml/workspace/ultralytics/datasets/african-wildlife/images/train/4 (71).jpg,11.498015522956848,1.147294521331787,1.705480933189392,1.3603774309158325
1,1031,/home/mml/workspace/ultralytics/datasets/african-wildlife/images/train/4 (72).jpg,11.795252680778503,1.1842288970947266,1.8480627536773682,1.32633638381958
1,1032,/home/mml/workspace/ultralytics/datasets/african-wildlife/images/train/4 (73).jpg,12.83287227153778,1.307309627532959,1.9867466688156128,1.356451153755188
1,1033,/home/mml/workspace/ultralytics/datasets/african-wildlife/images/train/4 (76).jpg,5.524781793355942,0.3942407965660095,2.047348976135254,1.0295342206954956
1,1034,/home/mml/workspace/ultralytics/datasets/african-wildlife/images/train/4 (77).jpg,7.813338398933411,0.7753885984420776,1.0568856000900269,0.97965407371521
1,1035,/home/mml/workspace/ultralytics/datasets/african-wildlife/images/train/4 (78).jpg,7.209177196025848,0.6496400833129883,1.3901034593582153,1.0945498943328857
1,1036,/home/mml/workspace/ultralytics/datasets/african-wildlife/images/train/4 (8).jpg,3.716061592102051,0.0,7.432123184204102,0.0
1,1037,/home/mml/workspace/ultralytics/datasets/african-wildlife/images/train/4 (80).jpg,7.592314392328262,0.7618198990821838,1.1953529119491577,0.8539924621582031
1,1038,/home/mml/workspace/ultralytics/datasets/african-wildlife/images/train/4 (82).jpg,5.490661591291428,0.4638538956642151,1.1202237606048584,0.9677636623382568
1,1039,/home/mml/workspace/ultralytics/datasets/african-wildlife/images/train/4 (83).jpg,10.494346499443054,1.031936526298523,1.7109179496765137,1.2662423849105835
